"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|CH","Generation - Solar  [MW] Intraday / BZN|CH","Generation - Solar  [MW] Current / BZN|CH","Generation - Wind Offshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Offshore  [MW] Intraday / BZN|CH","Generation - Wind Offshore  [MW] Current / BZN|CH","Generation - Wind Onshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Onshore  [MW] Intraday / BZN|CH","Generation - Wind Onshore  [MW] Current / BZN|CH"
"05.01.2020 13:00 - 05.01.2020 14:00","49","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 14:00 - 05.01.2020 15:00","34","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 15:00 - 05.01.2020 16:00","11","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 16:00 - 05.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 17:00 - 05.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 18:00 - 05.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 19:00 - 05.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 20:00 - 05.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 21:00 - 05.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 22:00 - 05.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 23:00 - 06.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 00:00 - 06.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 01:00 - 06.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 02:00 - 06.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 03:00 - 06.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 04:00 - 06.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 05:00 - 06.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 06:00 - 06.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 07:00 - 06.01.2020 08:00","4","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 08:00 - 06.01.2020 09:00","19","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 09:00 - 06.01.2020 10:00","41","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 10:00 - 06.01.2020 11:00","68","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 11:00 - 06.01.2020 12:00","72","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 12:00 - 06.01.2020 13:00","66","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 13:00 - 06.01.2020 14:00","55","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 14:00 - 06.01.2020 15:00","37","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 15:00 - 06.01.2020 16:00","13","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 16:00 - 06.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 17:00 - 06.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 18:00 - 06.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 19:00 - 06.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 20:00 - 06.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 21:00 - 06.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 22:00 - 06.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"06.01.2020 23:00 - 07.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 00:00 - 07.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 01:00 - 07.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 02:00 - 07.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 03:00 - 07.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 04:00 - 07.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 05:00 - 07.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 06:00 - 07.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 07:00 - 07.01.2020 08:00","3","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 08:00 - 07.01.2020 09:00","15","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"07.01.2020 09:00 - 07.01.2020 10:00","35","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
